ID,Track,Singer(s),Stream
340,Don't Pretend (feat. SAFE),Khalid; SAFE,13589374
341,Cool,Jonas Brothers,36772822
342,Bad Luck,Khalid,7157761
343,Free Spirit,Khalid,5435285
344,Right Back,Khalid,6471731
345,Intro,Khalid,4399664
346,Autre monde,PNL,2133277
347,Deux frères,PNL,3375797
348,Chang,PNL,1995383
349,Paradise,Bazzi,80562133
350,Blanka,PNL,1919430
351,Hundred,Khalid,5001832
352,Celsius,PNL,1168772
353,Hasta la vista,PNL,1848720
354,Twenty One,Khalid,3905293
355,Harami,Samra,6849426
356,Don't Know What To Do,BLACKPINK,12802419
357,Cœurs,PNL,1034856
358,Shenmue,PNL,1010939
359,Bluffin',Khalid,2300654
360,Menace,PNL,947643
361,Zoulou tchaing,PNL,940383
362,Kuta ubud,PNL,922291
363,Poquito,Anitta; Swae Lee,917921
364,Kick It,BLACKPINK,2883965
365,Alive,Khalid,877271
366,91's,PNL,869429
367,Déconnecté,PNL,842352
368,Heaven,Khalid,832728
369,La misère est si belle,PNL,825860
370,Inmortal,Aventura,803296
371,Hope Not,BLACKPINK,745730
372,Ela É do Tipo,MC Kevin o Chris,16061241
373,cOcO MAmA,Dardan,640298
374,Chlorine,Twenty One Pilots,8731764
375,CHopstix (feat. Travis Scott),ScHoolboy Q; Travis Scott,17365424
376,3 Nights,Dominic Fike,56909008
377,Sanguine Paradise,Lil Uzi Vert,68083291
378,SOS (feat. Aloe Blacc),Avicii; Aloe Blacc,160799615
379,That's a Rack,Lil Uzi Vert,20982159
380,Wake Me Up,Avicii,8475858
381,Swing,Danny Ocean,31597585
382,Boy With Luv (feat. Halsey),BTS; Halsey,126425151
383,Mikrokosmos,BTS,18801822
384,Make It Right,BTS,18423901
385,HOME,BTS,16442038
386,Dionysus,BTS,15134946
387,Jamais Vu,BTS,12992565
388,Intro : Persona,BTS,8775556
389,Rolex,Capital Bra; Summer Cem; KC Rebell,11210438
390,Sixteen,Ellie Goulding,51015495
391,Heaven Can Wait (feat. Sia Diplo and Labrinth),Sia; Diplo; Labrinth; LSD,858117
392,Bye Bye,Capital Bra; Nimo,764119
393,Que Mas Pues - Remix,Sech; Justin Quiles; Maluma; Nicky Jam; Farruko; Dalex; Lenny Tavárez,49155430
394,Borderline,Tame Impala,715904
395,Can We Pretend (feat. Cash Cash),P!nk; Cash Cash,691914
396,Rebota,Guaynaa,23104731
397,Piece Of Your Heart,MEDUZA; Goodboys,64322829
398,Pop Out (feat. Lil Tjay),Polo G; Lil Tjay,46933324
399,Power is Power (feat. The Weeknd & Travis Scott),SZA; The Weeknd; Travis Scott; Game of Thrones,40586718
400,Carry On (from the Original Motion Picture "POKÉMON Detective Pikachu"),Kygo; Rita Ora,62690523
401,Earth,Lil Dicky,55065848
402,Medellín (with Maluma),Madonna; Maluma,922248
403,Before I Let Go - Homecoming Live Bonus Track,Beyoncé,5658944
404,Con Calma - Remix,Daddy Yankee; Katy Perry; Snow,14358101
405,Slide (feat. Blueface & Lil Tjay),French Montana; Blueface; Lil Tjay,699505
406,Don't Stop Believin',Journey,1149277
407,Mr. Brightside,The Killers,1787085
408,FANCY,TWICE,12972648
409,Otro Trago,Sech; Darell,91760794
410,Hold Up,Beyoncé,5574100
411,Sorry,Beyoncé,5638628
412,Formation,Beyoncé,5994353
413,6 Inch (feat. The Weeknd),Beyoncé; The Weeknd,3220811
414,Don't Hurt Yourself (feat. Jack White),Beyoncé; Jack White,2893085
