ID,Track,Singer(s),Stream
338,Last One Standing (feat. Polo G Mozzy & Eminem) - From Venom: Let There Be Carnage,Skylar Grey; Polo G; Mozzy; Eminem,32952762
339,fue mejor (feat. SZA),Kali Uchis; SZA,1570013
340,The Feels,TWICE,74737526
341,Sal y Perrea - Remix,Sech; Daddy Yankee; J Balvin,930379
342,Vodka,Apache 207,906543
343,ANTIPATICO,Salmo,882103
344,Intro (Hate on Me),Meek Mill,877299
345,El Incomprendido,Farruko; Victor Cardenas; Dj Adoni,11885217
346,Linda,Tokischa; ROSALÍA,7745468
347,we fell in love in october,girl in red,22854323
348,GHIGLIOTTINA - feat. Noyz Narcos,Salmo; Noyz Narcos,810736
349,Groupies,Doode; Teto; Matuê,1581400
350,MI SENTO BENE,Salmo,799657
351,Thunder,Gabry Ponte; LUM!X; Prezioso,21382488
352,KUMITE,Salmo,788207
353,Revoada No Colchão,Zé Felipe; Marcynho Sensação,31308433
354,Classic,MKTO,33703534
355,Venom - Music From The Motion Picture,Eminem,14165764
356,Teenagers,My Chemical Romance,8868790
357,Someone Like You,Adele,66919604
358,Falling,Harry Styles,17468703
359,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy; Bad Bunny; Julieta Venegas,131435966
360,Savage,aespa,15229644
361,Working for the Knife,Mitski,1536912
362,When We Were Young,Adele,66296863
363,Somebody That I Used To Know,Gotye; Kimbra,29351651
364,Coração Cachorro,Avine Vinny; Matheus Fernandes,49328297
365,Está Dañada,Ivan Cornejo,31351438
366,Ptazeta: Bzrp Music Sessions Vol. 45,Bizarrap; Ptazeta,2489141
367,MAMMAMIA,Måneskin,18725210
368,Flocky Flocky (feat. Travis Scott),Don Toliver; Travis Scott,9651317
369,Red Eye (feat. TroyBoi),Justin Bieber; TroyBoi,6146177
370,Ateo,C. Tangana; NATHY PELUSO,22802717
371,Ghost,Justin Bieber,91841730
372,XSCAPE,Don Toliver,1030290
