ID,Track,Singer(s),Stream
280,Sad Song (feat. TINI),Alesso; TINI,2832581
281,Diamonds (feat. Capital Bra),Summer Cem; Capital Bra,10008216
282,Faz Gostoso (feat. Anitta),Madonna; Anitta,746253
283,It's You,Ali Gatie,125756573
284,Blank Space,Taylor Swift,1364359
285,Delicate,Taylor Swift,715869
286,Let You Know,Flume; London Grammar,710420
287,Another Place,Bastille,697663
288,Estamos Arriba,Bad Bunny; Myke Towers,685308
289,Money In The Grave (Drake ft. Rick Ross),Drake; Rick Ross,205577172
290,Omertà,Drake,8877352
291,Nonstop,Drake,3114092
292,Don't Stop Believin',Journey,23961859
293,The Git Up,Blanco Brown,72946352
294,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,2092615
295,On A Roll,Ashley O,48239884
296,Panini,Lil Nas X,173099209
297,Señorita,Shawn Mendes; Camila Cabello,573137314
298,Tilidin,Capital Bra; Samra,28903609
299,One Thing Right,Marshmello; Kane Brown,106080991
300,Rodeo,Lil Nas X; Cardi B,77500479
301,MEGATRON,Nicki Minaj,16044099
302,That's Life (feat. Mac Miller & Sia),88-Keys; Mac Miller; Sia,1957360
303,Runaway,Sebastian Yatra; Daddy Yankee; NATTI NATASHA; Jonas Brothers,77844943
304,All Night (BTS World Original Soundtrack) [Pt. 3],BTS; Juice WRLD,1921011
305,weR mAChT PaRA 2,Dardan; Eno,3049950
306,EFH,Shindy,1648506
307,F9mily (You & Me),Lil Nas X; Travis Barker,951630
308,All the Time,Zara Larsson,4180245
309,Kick It,Lil Nas X,788676
310,Lalala,Y2K; bbno$,135884492
311,Bring U Down,Lil Nas X,739886
312,Tú No Amas,Mambo Kingz; DJ Luian; Anuel AA; KAROL G; Arcángel,3269652
313,Out The Mud,Lil Baby; Future,3858373
314,C7osure (You Like),Lil Nas X,9188061
315,Make It Hot,Major Lazer; Anitta; Diplo,683935
316,Treat You Better,Shawn Mendes,21995116
317,Post Malone (feat. RANI),Sam Feldt; RANI,71213098
318,Juice,Lizzo,16522117
319,There's Nothing Holdin' Me Back,Shawn Mendes,1235627
320,Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown; Justin Bieber; Ink,49981364
321,Mr. Brightside,The Killers,16955685
322,Cambio,Ozuna; Anuel AA,5606572
323,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,260364460
324,QUE PRETENDES,J Balvin; Bad Bunny,118780601
325,LA CANCIÓN,J Balvin; Bad Bunny,139702619
326,Higher Love,Kygo; Whitney Houston,103702786
327,MOJAITA,J Balvin; Bad Bunny,10916176
328,YO LE LLEGO,J Balvin; Bad Bunny,5624975
329,UN PESO,J Balvin; Bad Bunny; Marciano Cantero,8117628
330,CUIDAO POR AHÍ,J Balvin; Bad Bunny,3511856
331,ODIO,J Balvin; Bad Bunny,4192699
332,Hate Me (with Juice WRLD),Ellie Goulding; Juice WRLD,62664480
333,COMO UN BEBÉ,J Balvin; Bad Bunny; Mr Eazi,4122190
334,ON OFF (feat. Maître Gims),Shirin David; GIMS,7388760
335,Shot,Ufo361; Data Luv,6042291
336,When I Grow Up,NF,6372820
337,LOVE AGAIN,Daniel Caesar; Brandy,876859
338,Heartbeat (BTS World Original Soundtrack),BTS,4251361
339,Im Plus,Luciano,788694
340,SUPERPOSITION,Daniel Caesar; John Mayer,756271
341,Si Supieras,Daddy Yankee; Wisin & Yandel,55971827
342,Baguettes in the Face (feat. NAV Playboi Carti & A Boogie Wit da Hoodie),Mustard; NAV; Playboi Carti; A Boogie Wit da Hoodie,47715859
343,Hold On,very man,1270100
344,Lençol Dobrado,João Gustavo e Murilo; Analaga,3087421
345,Tap (feat. Meek Mill),NAV; Meek Mill,15876992
346,Party In The U.S.A.,Miley Cyrus,1657187
347,Sweet Home Alabama,Lynyrd Skynyrd,702508
348,Good as Hell,Lizzo,59853397
349,Goodbyes (feat. Young Thug),Post Malone; Young Thug,226683322
350,Best Part of Me (feat. YEBBA),Ed Sheeran; Yebba,38989311
351,Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville; J. Cole; Lute; DaBaby,10031440
352,HO PAURA DI USCIRE 2 - prod. Mace,MACHETE; Salmo; Lazza,4928769
353,BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran; Chris Stapleton; Bruno Mars,18200074
354,Costa Rica (with Bas & JID feat. Guapdad 4000 Reese LAFLARE Jace Mez Smokepurpp Buddy & Ski Mask The Slump God),Dreamville; Bas; JID; Guapdad 4000; Reese LAFLARE; Jace; Mez; Smokepurpp; Buddy; Ski Mask The Slump God,4727860
355,YOSHI (feat. Fabri Fibra) - prod. Strage,MACHETE; Dani Faiv; thasup; Fabri Fibra,11854781
356,Instagram,Dimitri Vegas & Like Mike; David Guetta; Daddy Yankee; Afro Bros; NATTI NATASHA; Dimitri Vegas; Like Mike,49878306
357,STAR WARS - prod. Young Miles - Crookers x Nic Sarno,MACHETE; Fabri Fibra; Massimo Pericolo,2252299
358,MARYLEAN (feat. Marracash) - prod. Low Kidd,MACHETE; Salmo; Nitro; Marracash,3661786
359,MAMMASTOMALE (feat. Salmo) - prod. Dade,MACHETE; Gemitaiz; Izi; Salmo,922287
360,Jetzt rufst du an,Loredana,8846786
361,LamboTruck (with Cozz feat. REASON & Childish Major),Dreamville; Cozz; REASON; Childish Major,895773
362,Milionària,ROSALÍA,4129988
363,NO WAY (feat. Nitro) - prod. Low Kidd,MACHETE; Tedua; thasup; Nitro,840870
364,Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,Dreamville; JID; EARTHGANG; Buddy; Guapdad 4000,1465237
365,BUD SPENCER - prod. Dade - Low Kidd - Salmo,MACHETE; Salmo; Lazza,811946
366,Proud,Marshmello,795841
367,IO PUO' (feat. Salmo) - prod. Low Kidd,MACHETE; Jack The Smoker; Beba; Salmo,788066
368,Oh Wow...Swerve (with J. Cole feat. Zoink Gang KEY! & Maxo Kream),Dreamville; J. Cole; Zoink Gang; KEY!; Maxo Kream,777230
369,Yallah Goodbye (feat. Gringo),Summer Cem; GRiNGO,1362147
370,GANG! - prod. Strage,MACHETE; Salmo; Hell Raton,724491
371,Swivel (with EARTHGANG) - From The Album "Mirrorland",Dreamville; EARTHGANG,719092
372,Sunset (with J. Cole feat. Young Nudy),Dreamville; J. Cole; Young Nudy,2892425
373,comethru,Jeremy Zucker,43609445
374,I Fall Apart,Post Malone,2348253
375,Every Breath You Take,The Police,23685134
376,SPIRIT - From Disney's "The Lion King",Beyoncé,6043814
377,bad guy (with Justin Bieber),Billie Eilish; Justin Bieber,103339905
378,Antisocial (with Travis Scott),Ed Sheeran; Travis Scott,87196115
379,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran; Camila Cabello; Cardi B,78569867
